Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
600000010081854623,600000010081854624,600000010081852314,Dough Zone Menu (Cupertino),WONTONS,,Chicken & Vegetable Wontons in Hot & Sour Sauce (6) 🌶️ 酸辣菜肉大馄饨,,7.5,11.0,0.07051282051282051,82.50,0.07028454591923668,11.0,82.50,0.0,0.00,0.00,82.50,11,0.09734513274336283,0.07051282051282051,0.008227374719521317,0.008227374719521317,0.07033248081841433,0.007941206197028546,0.007941206197028546
600000010081857562,600000010081857563,600000010081852314,Dough Zone Menu (Cupertino),WONTONS,,Pork Wontons in Chili Sauce (6) 🌶️ 红油猪肉抄手,,7.378571428571428,42.0,0.2692307692307692,309.90,0.2640143124893508,42.0,309.90,0.0,0.00,0.80,309.10,34,0.3008849557522124,0.2692307692307692,0.031413612565445025,0.031413612565445025,0.2635123614663257,0.029753052551533616,0.029753052551533616
600000010081859160,600000010081859161,600000010081852314,Dough Zone Menu (Cupertino),WONTONS,,Pork Wontons in Hot & Sour Sauce (6) 🌶️ 酸辣猪肉抄手,,7.384615384615385,13.0,0.08333333333333333,96.00,0.08178565343329358,13.0,96.00,0.0,0.00,0.00,96.00,12,0.10619469026548672,0.08333333333333333,0.009723261032161555,0.009723261032161555,0.08184143222506395,0.009240676301996853,0.009240676301996853
600000010081905430,600000010081905431,600000010081852314,Dough Zone Menu (Cupertino),WONTONS,,Pork Wontons in Chicken Soup 鸡汤小馄饨,,7.9,13.0,0.08333333333333333,102.70,0.08749361049582553,13.0,102.70,0.0,0.00,0.00,102.70,10,0.08849557522123894,0.08333333333333333,0.009723261032161555,0.009723261032161555,0.0875532821824382,0.009885598502240382,0.009885598502240382
600000010081905517,600000010081905518,600000010081852314,Dough Zone Menu (Cupertino),WONTONS,,Chicken & Vegetable Wontons in Chicken Soup 鸡汤菜肉大馄饨,,8.071428571428571,21.0,0.1346153846153846,169.50,0.14440279434315897,21.0,169.50,0.0,0.00,0.00,169.50,16,0.1415929203539823,0.1346153846153846,0.015706806282722512,0.015706806282722512,0.1445012787723785,0.016315569095713193,0.016315569095713193
600000010081868222,600000010081868224,,Dough Zone Menu (Cupertino),APPETIZERS,,,,7.83,16.0,0.011967090501121914,125.25,0.011866751305105781,16.0,125.25,0.0,0.00,15.65,109.60,15,0.07042253521126761,0,0.011967090501121914,0.011967090501121914,0,0.010549772111446405,0.010549772111446405
600000010081870623,600000010081870624,600000010081868222,Dough Zone Menu (Cupertino),APPETIZERS,,Braised Pig Ears 🌶️ 凉拌猪耳,,7.422222222222222,9.0,0.5625,66.80,0.5333333333333333,9.0,66.80,0.0,0.00,7.30,59.50,9,0.6,0.5625,0.006731488406881077,0.006731488406881077,0.5428832116788321,0.005727294166341799,0.005727294166341799
600000010081873108,600000010081873109,600000010081868222,Dough Zone Menu (Cupertino),APPETIZERS,,Five Spice Beef Shank 五香牛腱,,8.35,4.0,0.25,33.40,0.26666666666666666,4.0,33.40,0.0,0.00,8.35,25.05,4,0.26666666666666666,0.25,0.0029917726252804786,0.0029917726252804786,0.22855839416058396,0.0024112389725523035,0.0024112389725523035
600000010081874215,600000010081874216,600000010081868222,Dough Zone Menu (Cupertino),APPETIZERS,,Spicy Beef Shank 🌶️🌶️ 麻辣牛腱,,8.35,3.0,0.1875,25.05,0.2,3.0,25.05,0.0,0.00,0.00,25.05,3,0.2,0.1875,0.002243829468960359,0.002243829468960359,0.22855839416058396,0.0024112389725523035,0.0024112389725523035
600000010081897525,600000010081897526,,Dough Zone Menu (Cupertino),VEGETABLES,,,,7.40,111.0,0.08302169035153328,821.30,0.07781367542421859,111.0,821.30,0.0,0.00,17.76,803.54,91,0.4272300469483568,0,0.08302169035153328,0.08302169035153328,0,0.0773463857886099,0.0773463857886099
